_id,name,type,orderFromSun,radius.value,radius.units,mass.value,mass.units,sma.value,sma.units,orbitalPeriod.value,orbitalPeriod.units,eccentricity,meanOrbitalVelocity.value,meanOrbitalVelocity.units,rotationPeriod.value,rotationPeriod.units,inclinationOfAxis.value,inclinationOfAxis.units,meanTemperature,gravity.value,gravity.units,escapeVelocity.value,escapeVelocity.units,meanDensity,atmosphericComposition,numberOfMoons,hasRings,hasMagneticField
59a06674c8df9f3cd2ee7d51,Sun,Star,0,695700,km,1.9885e+30,kg,0,km,0,years,0,0,km/sec,25.449,days,7.25,degrees,5600,274,m/s^2,617.7,km/sec,1.4,H2+He,0,false,true
59a06674c8df9f3cd2ee7d52,Mercury,Terrestrial planet,1,4879,km,3.3e+23,kg,57910000,km,0.24,years,0.2056,47.36,km/sec,58.65,days,0,degrees,125,3.24,m/s^2,4.25,km/sec,5.43,,0,false,true
59a06674c8df9f3cd2ee7d53,Venus,Terrestrial planet,2,6051.8,km,4.8675e+24,kg,108210000,km,0.615,years,0.0067,35.02,km/sec,243.69,days,177.36,degrees,465,8.87,m/s^2,10.36,km/sec,5.25,CO2,0,false,false
59a06674c8df9f3cd2ee7d54,Earth,Terrestrial planet,3,6378.137,km,5.9723e+24,kg,149600000,km,1,years,0.0167,29.78,km/sec,1,days,23.45,degrees,15,9.8,m/s^2,11.18,km/sec,5.52,N2+O2,1,false,true
59a06674c8df9f3cd2ee7d55,Mars,Terrestrial planet,4,3396.2,km,6.4171e+23,kg,227920000,km,1.881,years,0.0935,24.07,km/sec,1.029,days,25.19,degrees,-53,3.71,m/s^2,5.03,km/sec,3.93,CO2,2,false,false
59a06674c8df9f3cd2ee7d56,Jupiter,Gas giant,5,71492,km,1.89819e+27,kg,778570000,km,11.86,years,0.0489,13.06,km/sec,0.41,days,3.08,degrees,-150,24.79,m/s^2,59.5,km/sec,1.33,H2+He,67,true,true
59a06674c8df9f3cd2ee7d57,Saturn,Gas giant,6,60268,km,5.6834e+26,kg,1433530000,km,29.457,years,0.0566,9.68,km/sec,0.445,days,26.73,degrees,-170,10.44,m/s^2,35.5,km/sec,0.687,H2+He,62,true,true
59a06674c8df9f3cd2ee7d58,Uranus,Gas giant,7,25559,km,8.6813e+25,kg,2872460000,km,84.01,years,0.0457,6.8,km/sec,0.72,days,97.77,degrees,-200,8.87,m/s^2,21.3,km/sec,1.271,H2+He,27,true,true
59a06674c8df9f3cd2ee7d59,Neptune,Gas giant,8,24765,km,1.02413e+26,kg,4495060000,km,164.79,years,0.0113,5.43,km/sec,0.72,days,28.8,degrees,-210,11.15,m/s^2,23.5,km/sec,1.638,H2+He,14,true,true
