_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8790c08,2442,Fortunair Canada,,FXC,AIR FUTURE,N,Canada,ALG
56e9b497732b6122f8790c09,2443,Forward Air International Airlines,BN,,,N,United States,BHX
56e9b497732b6122f8790c0a,2444,Foster Aviation,,FSA,FOSTER-AIR,N,United States,YZY
56e9b497732b6122f8790c0b,2445,Foster Yeoman,,JFY,YEOMAN,N,United Kingdom,SPC
56e9b497732b6122f8790c0c,2446,Fotografia F3,,FTE,FOTOGRAFIA,N,Spain,VCS
56e9b497732b6122f8790c0d,2447,Four Island Air,,FIA,ISLANDAIR,N,Antigua and Barbuda,GOA
56e9b497732b6122f8790c0e,2449,Four Winds Aviation,,WDS,WINDS,N,United States,PGD
56e9b497732b6122f8790c0f,2450,Foxair,,FXR,WILDFOX,N,Italy,TAE
56e9b497732b6122f8790c10,2448,Four Star Aviation / Four Star Cargo,HK,FSC,FOUR STAR,N,United States,MID
56e9b497732b6122f8790c11,2451,France Douanes,,FDO,FRENCH CUSTOM,N,France,YEG
56e9b497732b6122f879113a,3776,Olympic Airlines,OA,OAL,OLYMPIC,Y,Greece,LUW
56e9b497732b6122f879113b,3777,Olympic Aviation,,OLY,OLAVIA,N,Greece,SKD
56e9b497732b6122f879113c,3778,Oman Air,WY,OMA,OMAN AIR,Y,Oman,RET
56e9b497732b6122f879113d,3779,Oman Royal Flight,,ORF,OMAN,N,Oman,ADD
56e9b497732b6122f879113e,3780,Omni - Aviacao e Tecnologia,,OAV,OMNI,N,Portugal,CCF
56e9b497732b6122f879113f,3781,Omni Air International,OY,OAE,OMNI-EXPRESS,Y,United States,URJ
56e9b497732b6122f8791140,3782,Omniflys,,OMF,OMNIFLYS,N,Mexico,GNM
56e9b497732b6122f8791141,3783,Omskavia Airline,N3,OMS,OMSK,N,Russia,CME
56e9b497732b6122f8791142,3784,On Air Limited,,ORL,ON AIR,N,Canada,DOY
56e9b497732b6122f8791143,3785,One Two Go Airlines,,OTG,THAI EXPRESS,Y,Thailand,DYG
56e9b497732b6122f8791144,3786,Onetime Airlines Zambia,,OTM,ZEDTIME,N,Zambia,PLM
56e9b497732b6122f8791145,3787,Ontario Ministry of Health,,MED,MEDICAL,N,Canada,ZAZ
56e9b497732b6122f8791146,3788,Onur Air,8Q,OHY,ONUR AIR,Y,Turkey,SAT
56e9b497732b6122f8791147,3789,Opal Air,,OPA,,N,Australia,KTS
56e9b497732b6122f8791148,3790,Open Sky Aviation,,OSA,,N,Lebanon,UYN
56e9b497732b6122f8791149,3791,OpenSkies,,BOS,MISTRAL,N,United Kingdom,VST
56e9b497732b6122f879114a,3792,Operadora Turistica Aurora,,ORR,TURISTICA AURORA,N,Mexico,TAM
56e9b497732b6122f879114b,3793,Operadora de Lineas Ejecutivas,,OLE,OPERADORA,N,Mexico,AGM
56e9b497732b6122f879114c,3794,Operadora de Transportes Aereos,,OTP,OPERADORA AEREO,N,Mexico,NQU
56e9b497732b6122f879114d,3795,Operadora de Veulos Ejectutivos,,OPV,OPERADORA DE VUELOS,N,Mexico,SGY
56e9b497732b6122f879114e,3796,Operation Enduring Freedom,,LLO,APOLLO,N,Canada,FSC
56e9b497732b6122f879114f,3797,Operational Aviation Services,,OAX,,N,Australia,DRS
56e9b497732b6122f8791150,3798,Orange Air Services,,ORD,ORANGE SERVICES,N,Sierra Leone,HNM
56e9b497732b6122f8791151,3799,Orange Air Sierra Leone,,ORJ,ORANGE SIERRA,N,Sierra Leone,JIU
56e9b497732b6122f8791152,3800,Orange Aviation,,ORE,ORANGE AVIATION,N,Israel,HNH
