web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1565019059-321","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@NuriiCastle","Xena 666  ⚡","#LosMejoresRegalosEstánEnFnac 
Mi querido álbum Skool Luv Affair de BTS","","","","1546348753000","5:19 AM - 1 Jan 2019","/NuriiCastle/status/1080091074406821890"
"1565019059-147","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@Pat_LerPorAi","Patrícia","Fui à fnac, comprei um dvd que o meu marido queria, um livro para a minha mãe (que não me interessa mas ela queria) e nada para mim. Odeio ser adulta.","","","6","1564506732000","10:12 AM - 30 Jul 2019","/Pat_LerPorAi/status/1156251157188239360"
"1565019059-255","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@disintegra_tion","Gonçalo Caeiro, Nutricionista","O gajo que estava a ver porno na Fnac do Chiado ontem está a rir se rn https://twitter.com/this1s4you/status/1101853129119801350 …","1","5","18","1551570024000","3:40 PM - 2 Mar 2019","/disintegra_tion/status/1101990670510768128"
"1565019059-207","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@xmBEIRAS","Xosé Manuel Beiras","Presentanción hoxe na FNAC da Coruña do ensaio meu ‘Nuredin o taxista e Amedine o pintor’, de Laiovento. Moitas grazas por vir!! pic.twitter.com/WA96GWpyaU","","10","34","1557429472000","12:17 PM - 9 May 2019","/xmBEIRAS/status/1126566976418140162"
"1565019059-132","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@fnacportugal","FNAC Portugal","Hey ARMY!
O BSO BTS World (CD + Photobook) já está disponível nas lojas físicas FNAC e em http://fnac.pt ! Descobre-o aqui: http://bit.ly/bsobts-world-fnac …pic.twitter.com/MYjj82muJF","7","25","85","1564390096000","1:48 AM - 29 Jul 2019","/fnacportugal/status/1155761948010659840"
"1565019059-79","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@fnacportugal","FNAC Portugal","Dia 23 de agosto a 3ª temporada de #13ReasonsWhy chega à @NetflixPT!!! 
Vê o trailer aqui: https://youtu.be/jrrK1DHinQQ pic.twitter.com/eqKh4cYM40","","","5","1564672703000","8:18 AM - 1 Aug 2019","/fnacportugal/status/1156947288788480002"
"1565019059-121","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@gotswhun","ℳ","A fnac come a worten ao pequeno almoço","","1","1","1564758299000","8:04 AM - 2 Aug 2019","/gotswhun/status/1157306304949641218"
"1565019059-264","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@namwings","bᵢₐ II homies in the back","os albuns na fnac estao com 15% de desconto mas eu nao posso gastar dinheiro :')","6","12","47","1550847060000","6:51 AM - 22 Feb 2019","/namwings/status/1098958340888150016"
"1565019059-176","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@RogerioCasanova","Rogério Casanova, autor de diversos tweets","se for como nos produtos da Fnac, está atrás do autocolante com o desconto https://twitter.com/Publico/status/1140233666871865347 …","","3","36","1560688039000","5:27 AM - 16 Jun 2019","/RogerioCasanova/status/1140234396831821824"
"1565019059-235","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@PabloAlboran_PT","PabloAlboránPortugal","Olhem quem já chegou ao Campo Pequeno!  Dia 28 de Junho não percam o concerto de @pabloalboran!! #TourPROMETO 

 Bilhetes à venda: https://ticketline.sapo.pt/evento/41157  (Restantes locais de venda: http://everythingisnew.pt , Campo Pequeno, FNAC, El Corte Inglés, Worten, CTT). pic.twitter.com/6UrFL0fOOC","","14","67","1554818376000","6:59 AM - 9 Apr 2019","/PabloAlboran_PT/status/1115615244762660865"
"1565019059-320","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@ximo50","Joaquin ximo","una minicadena jvc #LosMejoresRegalosEstánEnFnac","","","","1546353178000","6:32 AM - 1 Jan 2019","/ximo50/status/1080109631723266054"
"1565019059-186","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@odriguba23","/oso aka barroso","Ia, a música do ano passado na Fnac Novos Talentos but decently produced. Espero que gostem pessoal, gostava mesmo de ouvir as vossas opiniões porque realmente é isso que importa num é

https://www.youtube.com/watch?v=hcj5s27tkU8 …","1","10","13","1560205495000","3:24 PM - 10 Jun 2019","/odriguba23/status/1138210459738365954"
"1565019059-271","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bangpdportugal","Bang PD Portugal","Não minha gente, a fnac ainda não me patrocinou infelizmente  

Só disse que eles entraram em sintonia comigo pois, o cd do Giveaway de aniversário do Yoongi e chegou e olhem o photocard que calhou  pic.twitter.com/bDzTu5ZjD4","7","8","63","1549978675000","5:37 AM - 12 Feb 2019","/bangpdportugal/status/1095316068812374017"
"1565019059-212","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@costaaninha","aninha","@akapoeta na fnac de lisboa :) pic.twitter.com/Ok5iECKZDD","2","2","82","1556493315000","4:15 PM - 28 Apr 2019","/costaaninha/status/1122640451125829632"
"1565019059-280","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@AlbaRecheBrasil","Alba Reche Brasil  🧂 🇧🇷","| Assim está a fila de  @albarecheot2018 na Fnac Torre Sevilla muito antes de começar! 

A HT de hoje é  #LaRecheTakesSevillapic.twitter.com/n41qW5Nfcq","","8","28","1548773983000","6:59 AM - 29 Jan 2019","/AlbaRecheBrasil/status/1090263225596182529"
"1565019059-59","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@joaomiranda","JoãoMiranda","Isto faz parte da minha visita à FNAC nesta década. Vou relatar as tendências. Começando com livros de história isentos: pic.twitter.com/y6khTEJADY","1","1","6","1564754204000","6:56 AM - 2 Aug 2019","/joaomiranda/status/1157289129425670145"
"1565019059-171","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@namwings","bᵢₐ II homies in the back","pelos vistos as musicas do btsw vao ficar à venda na fnac..m so espero que nao seja muito caro","2","2","20","1561586474000","3:01 PM - 26 Jun 2019","/namwings/status/1144002707176546305"
"1565019059-262","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bobjackk","Bob Jack","Por isso que a FNAC quebrou... https://twitter.com/Hendrix_Careta/status/1099689454040768514 …","18","47","167","1551113126000","8:45 AM - 25 Feb 2019","/bobjackk/status/1100074302282625024"
