web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1565019059-192","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bangpdportugal","Bang PD Portugal","Tinham um valor superior, cerca de 75€ mas, como foi um um situação complicada eles faziam um valor mais baixo (Obrigado por essa atenção Fnac)!

Com isto de eles me estarem a oferecer essas opções só me pergunto, SERÁ QUE A FNAC AGORA TAMBÉM VAI COMEÇAR A VENDER OS DVDS???","","2","32","1559759515000","11:31 AM - 5 Jun 2019","/bangpdportugal/status/1136339884380217347"
"1565019059-205","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bangpdportugal","Bang PD Portugal","Isto está a gerar confusão, por isso vou explicar!
O funko do HOSEOK NÃO VAI TER PREÇO DIFERENTE!
O funko que vocês estão a ver dele é vendido por um RESELLER do marketplace. não pela fnac!
Na fnac estão todos em PRE-VENDA, mas ainda não colocaram o funko do HOSEOK e NAMJOON!","5","14","52","1557483206000","3:13 AM - 10 May 2019","/bangpdportugal/status/1126792353556193280"
"1565019059-90","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@bitchdontpls","eva 🦋","q já não há na fnac ??????","1","","1","1564856878000","11:27 AM - 3 Aug 2019","/bitchdontpls/status/1157719775654682626"
"1565019059-304","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@IppoWanWan","Ippo一歩","A fnac falhou-me, não há livros sobre energia eólica :/","1","","3","1546442181000","7:16 AM - 2 Jan 2019","/IppoWanWan/status/1080482936552591360"
"1565019059-187","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@btsportugal","BTS Portugal  🇵🇹 W.I.N.G","[INFO] O novo álbum japonês Lights/Boy with Luv encontra-se disponível para pré venda na FNAC

- CD + Photobook https://bit.ly/2IqWFWQ 
- Limited Edition A - CD + DVD https://bit.ly/31qojfg 
- Limited Edition B - CD + DVD https://bit.ly/2wRAnYV 
- CD https://bit.ly/2XxOMpa  #BTS","3","19","78","1560190272000","11:11 AM - 10 Jun 2019","/btsportugal/status/1138146611345989633"
"1565019059-63","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@fnacportugal","FNAC Portugal","Temos fãs dos @weareoneEXO por aqui? Parabéns!! 
#WhatALife1stWinpic.twitter.com/QTe2ApkQ9e","39","655","1.1K","1564741916000","3:31 AM - 2 Aug 2019","/fnacportugal/status/1157237591718191104"
"1565019059-56","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@fcksubaek","ᴍᴀʀ↝sᴄ  💫","eu ñ estou preocupada com as vendas da fnac, eu só quero msm comprar os álbuns dos reis da coreia, vulgo exo 
 pic.twitter.com/yG1VgBwOkd","1","","1","1564770731000","11:32 AM - 2 Aug 2019","/fcksubaek/status/1157358446716604421"
"1565019059-266","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@BrunodC72","Bruno de Carvalho","Livro mais vendido wook fnac #bestseller #top #1 #semfiltro #contraponto #editores #luisaguilar https://www.instagram.com/p/BuGc9jLhDZZ/?utm_source=ig_twitter_share&igshid=nshl34c3jlzf …","11","32","346","1550659736000","2:48 AM - 20 Feb 2019","/BrunodC72/status/1098172647924355072"
"1565019059-98","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@onevodkaplz","CAXAP","Queremos ""senhora da fnac"" prt. 2 https://twitter.com/MofocaDiStreet/status/1156287940512772096 …","","3","3","1564529239000","4:27 PM - 30 Jul 2019","/onevodkaplz/status/1156345559592198144"
"1565019059-178","https://twitter.com/search?l=pt&q=fnac%20since%3A2019-01-01%20until%3A2019-08-05&src=typd","@anotherbang","diego com d de devastado","real

da última vez que eu fui em uma livraria comprei um cd na fnac e ele custou $29,90, na notinha o valor real dele era 13 reais também o restante era imposto

sem contar que a era digital tende a tornar o livro físico obsoleto, era só tempo pras livrarias começarem a falir","3","5","158","1560606300000","6:45 AM - 15 Jun 2019","/anotherbang/status/1139891558889721856"
